gta 3;2001;2001-10-22;Claude;Catalina;Liberty City
gta vice city;1986;2002-10-29;Tommy Vercetty;Sony Forelli;Vice CIty
gta san andreas;1992;2004-10-26;Carl Johnson;Frank Tempenny;LS, SF, LV
